               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.067327,            0.056692,                   0,             0.47612,             0.74732,             0.62134,             0.21271,             0.04717,            0.045955,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.067534,            0.059916,                   0,             0.57701,             0.84444,             0.75727,               0.371,            0.040783,            0.039086,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.054777,            0.055443,                   0,             0.57701,             0.84444,             0.75727,               0.371,            0.040783,            0.039086,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.054006,            0.049979,                   0,             0.57701,             0.84444,             0.75727,               0.371,            0.040783,            0.039086,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.048663,            0.056428,                   0,             0.60813,             0.82774,             0.78793,             0.46922,            0.031044,            0.036422,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.041876,            0.053787,                   0,             0.60813,             0.82774,             0.78793,             0.46922,            0.031044,            0.036422,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.043471,            0.053804,                   0,             0.77933,             0.78491,             0.86699,             0.41118,            0.033621,            0.034883,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.043854,            0.064052,                   0,             0.77933,             0.78491,             0.86699,             0.41118,            0.033621,            0.034883,                   0,            0.006832,            0.006832,            0.006832
                  66,            0.044256,            0.053519,                   0,             0.82463,             0.88889,             0.91161,              0.6284,            0.035142,            0.035853,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,            0.055703,            0.049833,                   0,             0.82463,             0.88889,             0.91161,              0.6284,            0.035142,            0.035853,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.054845,            0.052973,                   0,             0.68064,             0.89997,             0.74707,             0.36702,            0.032478,              0.0361,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,            0.043746,            0.047561,                   0,             0.68064,             0.89997,             0.74707,             0.36702,            0.032478,              0.0361,                   0,            0.006634,            0.006634,            0.006634
                  70,            0.045746,            0.054133,                   0,             0.68064,             0.89997,             0.74707,             0.36702,            0.032478,              0.0361,                   0,           0.0065845,           0.0065845,           0.0065845
