               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.060724,            0.059981,                   0,             0.60448,             0.82222,             0.74848,             0.49218,            0.040741,            0.042785,                   0,           0.0058024,           0.0058024,           0.0058024
                  55,            0.056715,            0.057609,                   0,             0.68841,             0.83473,             0.85735,             0.47507,            0.042938,            0.043468,                   0,           0.0057232,           0.0057232,           0.0057232
                  56,            0.055373,            0.059815,                   0,             0.68841,             0.83473,             0.85735,             0.47507,            0.042938,            0.043468,                   0,            0.005644,            0.005644,            0.005644
                  57,            0.057223,            0.056448,                   0,             0.63082,              0.7595,             0.78455,             0.31537,            0.047591,            0.042182,                   0,           0.0055648,           0.0055648,           0.0055648
                  58,            0.055704,            0.055784,                   0,             0.63082,              0.7595,             0.78455,             0.31537,            0.047591,            0.042182,                   0,           0.0054856,           0.0054856,           0.0054856
                  59,            0.056155,            0.059298,                   0,             0.76101,             0.88889,             0.90375,             0.47576,            0.037897,             0.04055,                   0,           0.0054064,           0.0054064,           0.0054064
                  60,            0.045718,            0.058204,                   0,             0.76101,             0.88889,             0.90375,             0.47576,            0.037897,             0.04055,                   0,           0.0053272,           0.0053272,           0.0053272
                  61,            0.044244,            0.052972,                   0,             0.76101,             0.88889,             0.90375,             0.47576,            0.037897,             0.04055,                   0,            0.005248,            0.005248,            0.005248
                  62,            0.043333,            0.058166,                   0,             0.78421,             0.84444,             0.88505,             0.51886,            0.037113,            0.040205,                   0,           0.0051688,           0.0051688,           0.0051688
                  63,            0.039516,            0.055415,                   0,             0.78421,             0.84444,             0.88505,             0.51886,            0.037113,            0.040205,                   0,           0.0050896,           0.0050896,           0.0050896
                  64,            0.038018,            0.056673,                   0,             0.93411,             0.94529,             0.98312,              0.6858,            0.027602,            0.039085,                   0,           0.0050104,           0.0050104,           0.0050104
                  65,            0.039394,            0.064647,                   0,             0.93411,             0.94529,             0.98312,              0.6858,            0.027602,            0.039085,                   0,           0.0049312,           0.0049312,           0.0049312
